trial,Success,CumSuccess,Total Reward,CumTotal Reward,Planner not Observed,Invalid Moves,Trip Duration
1,1.0,1.0,24.5,24.5,7.0,16.0,0.82
2,1.0,2.0,19.5,44.0,3.0,3.0,0.4
3,1.0,3.0,28.0,72.0,6.0,7.0,0.75
4,1.0,4.0,18.0,90.0,0.0,0.0,0.15
5,1.0,5.0,26.5,116.5,1.0,3.0,0.457142857143
6,1.0,6.0,19.0,135.5,0.0,5.0,0.457142857143
7,1.0,7.0,30.5,166.0,3.0,4.0,0.733333333333
8,1.0,8.0,26.0,192.0,2.0,7.0,0.65
9,1.0,9.0,16.0,208.0,2.0,3.0,0.342857142857
10,1.0,10.0,20.5,228.5,3.0,6.0,0.95
11,1.0,11.0,18.5,247.0,1.0,3.0,0.36
12,1.0,12.0,21.5,268.5,1.0,2.0,0.3
13,1.0,13.0,27.5,296.0,1.0,0.0,0.333333333333
14,1.0,14.0,19.0,315.0,0.0,1.0,0.32
15,1.0,15.0,17.5,332.5,1.0,2.0,0.4
16,1.0,16.0,32.0,364.5,2.0,3.0,0.422222222222
17,1.0,17.0,18.0,382.5,2.0,5.0,0.56
18,1.0,18.0,19.5,402.0,1.0,0.0,0.3
19,1.0,19.0,20.5,422.5,1.0,1.0,0.28
20,1.0,20.0,25.5,448.0,3.0,3.0,0.6
21,1.0,21.0,20.0,468.0,0.0,4.0,0.285714285714
22,1.0,22.0,23.5,491.5,3.0,7.0,0.733333333333
